Date/Time,Seed I/O 1 - Indoor RH 1 Z3 (%),Seed I/O 1 - Indoor Temp 1 Z3 (°F),Seed I/O 1 - GH #3 PAR (PAR),Seed I/O 1 - Unit Heater,Seed I/O 1 - HAF Fans,Seed I/O 1 - Shutters Open,Seed I/O 1 - Roof Vent,Greenhouse #3 - Zone Temperature (°F),Greenhouse #3 - Zone Relative Humidity (%),Greenhouse #3 - Heating Setpoint (°F),Greenhouse #3 - Cooling Setpoint (°F),Greenhouse #3 - Rel Humidity Setpoint (%),
4/12/2019 13:30,65.35,77.97,550.07,0,59,0,0,77.97,65.35,65,78,50,
4/12/2019 13:45,65.6,77.22,317.2,0,59,0,0,77.22,65.6,65,78,50,
4/12/2019 14:00,67.98,76.09,308.91,0,60,0,0,76.09,67.98,65,78,50,
4/12/2019 14:15,67.6,75.83,381.15,0,60,0,0,75.83,67.6,65,78,50,
4/12/2019 14:30,69.28,75.13,405.89,0,59,0,0,75.13,69.28,65,78,50,
4/12/2019 14:45,67.85,76.22,472.62,0,60,0,0,76.22,67.86,65,78,50,
4/12/2019 15:00,65.69,78.16,510.33,0,59,0,0,78.16,65.69,65,78,50,
4/12/2019 15:15,64.55,79.31,487.98,0,60,0,0,79.31,64.55,65,78,50,
4/12/2019 15:30,63.33,79.46,499.09,0,59,0,0,79.46,63.34,65,78,50,
4/12/2019 15:45,62.84,79.56,479.53,0,60,0,0,79.56,62.84,65,78,50,
4/12/2019 16:00,64.56,78.01,404.72,0,60,0,0,78.01,64.56,65,78,50,
4/12/2019 16:15,66.23,77.27,395.44,0,59,0,0,77.27,66.23,65,78,50,
4/12/2019 16:30,66.71,76.99,346.13,0,59,0,0,76.99,66.71,65,78,50,
4/12/2019 16:45,67.86,75.86,377.96,0,59,0,0,75.86,67.91,65,78,50,
4/12/2019 17:00,67.93,75.2,353.24,0,60,0,0,75.2,67.93,65,78,50,
4/12/2019 17:15,68.73,74.6,345.23,0,60,0,0,74.6,68.73,65,78,50,
4/12/2019 17:30,70.44,73.19,302.5,0,60,0,0,73.19,70.44,65,78,50,
4/12/2019 17:45,73.21,72.46,278.96,0,60,0,0,72.46,73.21,65,78,50,
4/12/2019 18:00,74.77,71.85,269.44,0,59,0,0,71.85,74.78,65,78,50,
4/12/2019 18:15,76.3,71.2,258.15,0,60,0,0,71.2,76.3,65,78,50,
4/12/2019 18:30,77.83,70.52,259.65,0,60,0,0,70.52,77.83,65,78,50,
4/12/2019 18:45,78.57,70.18,253.95,0,60,0,0,70.19,78.57,65,78,50,
4/12/2019 19:00,79.72,70.02,248.63,0,60,0,0,70.02,79.72,65,78,50,
4/12/2019 19:15,81.21,69.48,235.84,0,59,0,0,69.48,81.21,65,78,50,
4/12/2019 19:30,81.57,69.02,228.57,0,59,0,0,69.03,81.57,62.67,78,57.77,
4/12/2019 19:45,82.45,68.87,220.55,0,59,0,0,68.87,82.45,62,78,60,
4/12/2019 20:00,83.3,68.6,230.51,0,59,0,0,68.6,83.3,62,78,60,
4/12/2019 20:15,83.64,68.61,227.57,0,59,0,0,68.62,83.64,62,78,60,
4/12/2019 20:30,84.02,68.3,222.25,0,59,0,0,68.3,84.02,56.56,78,67.77,
4/12/2019 20:45,84,68.32,229.63,0,59,0,0,68.32,84,55,78,70,
4/12/2019 21:00,84.1,68.19,229.95,0,59,0,0,68.2,84.1,55,78,70,
4/12/2019 21:15,84.99,68.17,228.44,0,60,0,0,68.17,84.99,55,78,70,
4/12/2019 21:30,84.62,68.25,224.59,0,59,0,0,68.25,84.62,55,78,70,
4/12/2019 21:45,85.03,67.93,226.23,0,59,0,0,67.93,85.04,55,78,70,
4/12/2019 22:00,85.2,68,229.28,0,60,0,0,68,85.21,55,78,70,
4/12/2019 22:15,85.72,67.89,225.34,0,59,0,0,67.89,85.72,55,78,70,
4/12/2019 22:30,85.68,67.4,0,0,60,0,0,67.4,85.68,55,78,70,
4/12/2019 22:45,91.01,65.86,0,0,60,0,0,65.86,91.01,55,78,70,
4/12/2019 23:00,93.95,64.52,0,0,60,0,0,64.52,93.95,55,78,70,
4/12/2019 23:15,94.81,63.86,0,0,59,0,0,63.86,94.81,55,78,70,
4/12/2019 23:30,95.92,62.7,0,0,59,0,0,62.71,95.92,55,78,70,
4/12/2019 23:45,95.88,62.39,0,0,59,0,0,62.39,95.88,55,78,70,
4/13/2019 00:00,97.43,61.77,0,0,59,0,0,61.78,97.43,55,78,70,
4/13/2019 00:15,94.81,63.23,223.97,0,59,0,0,63.23,94.82,55,78,70,
4/13/2019 00:30,92.43,64.54,223.08,0,60,0,0,64.54,92.43,55,78,70,
4/13/2019 00:45,91.74,64.85,216.22,0,59,0,0,64.85,91.74,55,78,70,
4/13/2019 01:00,91.34,65.15,224.98,0,59,0,0,65.15,91.34,55,78,70,
4/13/2019 01:15,94.07,63.62,0,0,60,0,0,63.62,94.07,55,78,70,
4/13/2019 01:30,96.29,62.57,0,0,59,0,0,62.58,96.29,55,78,70,
4/13/2019 01:45,97.63,62.06,0,0,60,0,0,62.06,97.64,55,78,70,
4/13/2019 02:00,97.64,61.7,0,0,60,0,0,61.7,97.64,55,78,70,
4/13/2019 02:15,97.01,60.24,0,0,59,0,0,60.24,97.01,55,78,70,
4/13/2019 02:30,97.58,60.09,0,0,60,0,0,60.09,97.58,55,78,70,
4/13/2019 02:45,98.98,60.19,0,0,59,0,0,60.19,98.98,55,78,70,
4/13/2019 03:00,99,60.54,0,0,60,0,0,60.55,99,55,78,70,
4/13/2019 03:15,99.62,60.48,0,0,59,0,0,60.48,99.62,55,78,70,
4/13/2019 03:30,99.5,60.81,0,0,60,0,0,60.82,99.5,55,78,70,
4/13/2019 03:45,99.53,60.84,0,0,59,0,0,60.84,99.53,55,78,70,
4/13/2019 04:00,99.78,60.94,0,0,60,0,0,60.94,99.78,55,78,70,
4/13/2019 04:15,100.18,60.69,0,0,59,0,0,60.69,100.18,55,78,70,
4/13/2019 04:30,100.16,60.92,0,0,60,0,0,60.92,100.16,55,78,70,
4/13/2019 04:45,100.97,60.92,0,0,60,0,0,60.92,100.97,55,78,70,
4/13/2019 05:00,100.29,61.26,0,0,59,0,0,61.27,100.29,55,78,70,
4/13/2019 05:15,100.37,61.06,0,0,59,0,0,61.06,100.37,55,78,70,
4/13/2019 05:30,100.46,61.07,0,0,60,0,0,61.07,100.46,55,78,70,
4/13/2019 05:45,100.63,60.98,0,0,60,0,0,60.98,100.63,55,78,70,
4/13/2019 06:00,100.64,60.83,0,0,59,0,0,60.84,100.64,55,78,70,
4/13/2019 06:15,100.59,60.84,2.09,0,60,0,0,60.85,100.59,58.01,78,59.97,
4/13/2019 06:30,100.73,60.91,4.85,0,60,0,0,60.91,100.73,58,78,60,
4/13/2019 06:45,100.77,61.29,18.36,0,59,0,0,61.29,100.77,58,78,60,
4/13/2019 07:00,100.81,61.47,20.18,0,60,0,0,61.48,100.81,58,78,60,
4/13/2019 07:15,98.98,65.57,27.85,59,59,0,0,65.57,98.98,65.03,78,49.95,
4/13/2019 07:30,89.17,69.12,26.39,0,60,0,0,69.12,89.17,65,78,50,
4/13/2019 07:45,97.78,65.02,39.03,25,60,0,0,65.02,97.78,65,78,50,
4/13/2019 08:00,95.94,65.8,53.86,0,60,0,0,65.8,95.94,65,78,50,
4/13/2019 08:15,98.31,65.51,58.08,0,60,0,0,65.51,98.31,65,78,50,
4/13/2019 08:30,97.91,65.93,82.55,0,60,0,0,65.93,97.91,65,78,50,
4/13/2019 08:45,96.81,67.26,193.55,0,60,0,0,67.26,96.81,65,78,50,
4/13/2019 09:00,95.24,68.94,197.35,0,60,0,0,68.94,95.24,65,78,50,
4/13/2019 09:15,91.74,71.62,403.52,0,60,0,0,71.63,91.74,65,78,50,
4/13/2019 09:30,88.24,74.09,396.92,0,59,0,0,74.09,88.24,65,78,50,
4/13/2019 09:45,86.62,75.75,433.66,0,60,0,0,75.75,86.63,65,78,50,
4/13/2019 10:00,84.12,77.88,471.85,0,60,0,0,77.89,84.12,65,78,50,
4/13/2019 10:15,84.15,77.76,370.85,0,59,0,0,77.76,84.15,65,78,50,
4/13/2019 10:30,83.52,78.73,445.62,0,60,0,0,78.73,83.52,65,78,50,
4/13/2019 10:45,75.54,76.86,382.53,0,59,0,100,76.86,75.54,65,78,50,
4/13/2019 11:00,75.05,77.02,343.09,0,59,0,35,77.02,75.05,65,78,50,
4/13/2019 11:15,73.62,78.56,391.92,0,59,0,35,78.56,73.62,65,78,50,
4/13/2019 11:30,67.95,79.29,487.99,0,59,59,55,79.29,67.96,65,78,50,
4/13/2019 11:45,67.24,79.22,632.46,0,59,0,100,79.22,67.24,65,78,50,
4/13/2019 12:00,70.74,77.83,472.91,0,60,0,100,77.83,70.74,65,78,50,
4/13/2019 12:15,63.97,78.85,550.61,0,60,60,100,78.85,63.97,65,78,50,
4/13/2019 12:30,66.1,78.59,589.77,0,59,59,100,78.59,66.1,65,78,50,
4/13/2019 12:45,63.18,79.77,704.26,0,60,60,100,79.78,63.18,65,78,50,
4/13/2019 13:00,60.16,81.03,1116.75,0,58,58,100,81.03,60.16,65,78,50,
4/13/2019 13:15,57.14,82.37,1106.38,0,59,59,100,82.38,57.14,65,78,50,
4/13/2019 13:30,54.3,83.96,1205.05,0,60,60,100,83.96,54.3,65,78,50,
4/13/2019 13:45,51.35,84.79,1172.58,0,0,59,100,84.8,51.35,65,78,50,
4/13/2019 14:00,50.17,84.99,1076.24,0,0,60,100,85,50.17,65,78,50,
4/13/2019 14:15,46.4,86.28,1137.94,0,0,60,100,86.28,46.4,65,78,50,
4/13/2019 14:30,45.11,87.03,1072.01,0,0,60,100,87.03,45.11,65,78,50,
4/13/2019 14:45,46.28,86.06,548.04,0,0,60,100,86.06,46.28,65,78,50,
4/13/2019 15:00,43.38,87.06,536.57,0,0,60,100,87.07,43.38,65,78,50,
4/13/2019 15:15,40.59,88.35,827.75,0,0,60,100,88.35,40.59,65,78,50,
4/13/2019 15:30,42.86,84.58,331.21,0,0,60,100,84.59,42.86,65,78,50,
4/13/2019 15:45,42.6,84.45,399.61,0,0,60,100,84.45,42.6,65,78,50,
4/13/2019 16:00,43.1,84.15,624.92,0,0,60,100,84.15,43.1,65,78,50,
4/13/2019 16:15,40.9,84.35,356.45,0,0,59,100,84.35,40.9,65,78,50,
4/13/2019 16:30,45.42,82.04,267.63,0,0,59,100,82.04,45.42,65,78,50,
